AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
616018322190,69044856900,98172755520,38864119500,136292721150,174577752120,185420444480,58591160550,286156279040,77633817360,166460096490,133671456900,166014420000,288121878720,243322693000,187310783950,107368633900,91205566690,147778424700,440932797600,87197580000,199157206780,216775256640,34431506420,112095031880,82723578460,152182454020,185337165150,190960898520,330662244770
620757353540,69596034660,99231330240,39428886480,138247011565,175857537280,188115124620,58764952800,292385274560,79425268560,168501384900,135126621900,166580700000,291220856000,248586708900,190659502400,108204223200,92326164350,150907192860,448361556690,88770540000,201132727740,220339207270,34845244260,113257823640,84382307730,154582686060,189243283230,193074147900,329496621850
607599572380,68473994220,97522871040,37786986600,135632830880,170399629980,185172467780,58220403750,288326989600,77889738960,166536169350,132662542500,164740290000,286766076160,243985296400,189137357650,107892025000,91648880050,147107974380,444926754100,88289160000,199589351990,218434806170,34458886130,113629535760,83264661270,152317950990,187575045300,188847649140,324542724440
591152345930,66800776020,93516366720,37909255740,133348595330,169025742970,178080334160,57502062450,285778764160,74852802640,165192215490,130867839000,159808935000,282089940800,237064772000,184831862500,107120711800,90460553960,144258560520,432385730690,87136560000,197490360970,212558368490,33503638470,110388968560,81907519140,147730410720,185377853880,188431403050,321711925920
598400276230,67322426400,94400745600,37984946160,135201364165,167952981880,176212243020,59054606550,286911308800,75816774000,166485454110,131449905000,161578560000,281066171520,241261260200,186049578300,108066488700,90805353240,144901075410,437977269790,88004400000,200391907380,214789238350,33750055860,111904410280,83034035810,149375731070,186761270700,190672728150,321628667140
597842743130,67765337100,95392321920,39830627940,136495764310,169891479990,176460219720,59668672500,287760717280,76797806800,167208146280,133807272300,163890870000,284192818240,241776618400,188267560650,108094035600,91722765610,145543590300,442130984550,89394300000,200762317560,216557610800,34218553120,111933003520,84151682270,149782221980,188551574820,193842602220,323252213350
605536699910,68867692620,96517895040,40692334260,139084564600,176553890970,174509469680,60862045950,292102138400,78034761200,168767639910,134399039400,165165000000,286351034560,245641804900,189920174950,109085724000,93071177080,148001908140,445885303660,87265380000,201009257680,217428194160,34440632990,113124388520,85420122300,152066313760,191033587350,195603643370,333826078410
602303007930,69054699360,96162803520,40395394920,138983043020,173241505850,175005423080,60607150650,290969593760,77830023920,168501384900,134117707500,165070620000,286987431680,245163258000,189354806900,108874531100,93089648470,147638747550,444687116710,85672080000,201379667860,217074519670,34458886130,112790800720,85420122300,151485612460,190057057830,194771151190,330245950870
595556857420,68661000960,96839487360,39929607720,138627717490,170060863320,177303340500,60514461450,291630244800,77467468320,168222451080,133496837100,164834670000,285603959680,244353409400,189137357650,109039812500,93108119860,147610812120,446923732350,86526360000,200144967260,217428194160,34522772120,112781269640,85233847890,152008243630,190219812750,194514999750,327789816860
606261492940,69438555300,98722142400,40284770460,140962713830,171735876250,177022300240,61163285850,295216636160,78282152080,169515689700,135601975800,167241360000,287845184320,246893389100,190094134350,110251876100,94136360570,149007583620,451716480150,87136560000,202676103490,218625246280,34991269380,114201400560,86280532670,153324499910,192091494330,197268627730,329538251240
598344522920,69054699360,98092357440,39993653460,139744454870,169552713330,175798948520,59854050900,293045925600,77633817360,169071931350,135175127400,165117810000,287153448320,245126446700,189485276450,109664208900,93532961830,148756164750,449799381030,85767000000,202182223250,217836280110,34769189510,113343603360,85952334900,151659822850,190301190210,197492760240,325167165290
586859341060,68454309300,96872986560,39568622640,137840925245,169308048520,173715944240,59645500200,293989712800,76874583280,167677262250,133506538200,162569550000,284220487680,243065013900,186832395600,108479692200,92751006320,147554941260,443169413240,84750000000,199280676840,216040701930,34334156340,112123625120,85216107470,150111286050,188063310060,196276040900,324501095050
587361120850,66525187140,94132752000,39586089660,134059246390,167218987450,170244270440,57849646950,289837049120,75556587040,166181162670,131886454500,160398810000,278022533120,234193490600,184396964000,107965483400,90398982660,146605136640,437737632400,83421120000,197243420850,213211306010,33454963430,110998957680,84772596970,146530294700,186639204510,196788343780,322461254940
572642247010,65501571300,94514642880,39172703520,133450116910,168649335570,166805660200,57409373250,290120185280,74255652240,165369718830,131789443500,159643770000,279184649600,234598414900,185049311750,109453016000,90793038980,148476810450,439734610650,84587280000,198663326540,213891449260,33607072930,111208641440,84905650120,147633627170,189202594500,201463107560,325208794680
561435831700,63405127320,93013878720,38555535480,132028814790,161986924590,165912944080,56146482900,285495628000,72442874240,163658079480,131129768700,156104520000,277773508160,231211775300,184049045200,108718432000,88964371370,146437524060,431746697650,83380440000,195144429830,211823813780,33172039760,110074442920,82599395520,145697956170,185215098960,203480300150,322502884330
537740674950,62834264640,89114571840,37228041960,128983167390,156246711740,164491211000,54037803600,273415151840,70216356320,158992277400,128888814600,150252960000,274536183680,221861705100,181004755700,106202481800,86797061610,145152494280,416729421210,80791335450,193847994200,209973824140,32381070360,106833875720,81517229900,142833163090,184197880710,208219101790,317340839970
537593459520,62627572980,87091220160,36849589860,125785237620,154571698810,164077916500,53620702200,268507458400,69926311840,157090455900,127695579300,148695690000,271603223040,216892179600,180526367350,106037200400,86501519370,142694176440,418007487290,79468436390,191378593000,206681930810,32244171810,104994377280,80186698400,141071702480,182407576590,203448281220,310929913910
546298304110,63040956300,87238616640,35789923980,128272516330,152012128490,165185545760,52601121000,269734381760,70689811280,159474072180,129247755300,151291140000,269970726080,216560877900,180830796300,107148258700,86483047980,143169078750,417767849900,80386366350,191810738210,208586331910,32487547010,104441574640,80275400500,143084800320,183465483570,205625568460,306766974910
554226920520,63385442400,88384289280,35865614400,128678602650,154609339550,167731439880,51894365850,270300654080,70681280560,161642148690,128927619000,154216920000,271824578560,217039424800,183179248200,107836931200,86729333180,144593785680,421602048140,80912826180,191378593000,208151040230,32849567620,106995904080,80275400500,144710763960,182814463890,203704432660,313053012800
539977588930,61859861100,85838350080,35452228260,124871543400,153066069210,162804969440,50550372450,266525505280,67814958640,153920753400,127249328700,150583290000,268448906880,211075994200,182005022250,105706637600,85411707360,141520888380,412495827320,79346945660,187489286110,206355462050,32265467140,104107986840,78794075430,141497550100,179640742950,198261214560,314926335350
551787346240,62292929340,86561932800,36255711180,125176108140,160857702390,163846471580,51257127600,274264560320,68838645040,151663925220,128937320100,154500060000,273623092160,214241766000,182135491800,107083982600,86926361340,144705527400,424238059430,78982473470,192057678330,207171633950,32545348620,105566242080,78953739210,142852519800,182570331510,201911372580,329371733680
538536022310,61918915860,84170089920,34858349580,119896985980,157470035790,155233414200,49774100400,268884973280,66373266960,151169451630,126143403300,140437440000,268393568000,209971655200,180482877500,105761731400,85393235970,142861789020,407303683870,77700071320,190205627430,203988563540,31973416900,104146111160,75955608230,139039247930,180780027390,198293233490,322960807620
535930113420,61653169440,84458183040,34369273020,121064484150,153404835870,155349136660,48742933050,268884973280,66889375520,151841428560,124280792100,140626200000,269777040000,209861221300,182309451200,107892025000,85208522070,143420497620,403868881280,78725993040,189464807070,208749566290,32174201440,107300898640,75609670040,138187552690,182570331510,200310426080,318048539600
536650896730,62037025380,81831845760,34241181540,116242209100,148643282260,151917087980,47873971800,264260416000,65579910000,147657421260,118217604600,139635210000,264934888000,204339526300,179960999300,106312669400,84328052480,141213598650,405706101270,79697918880,189279601980,206301050590,31532299350,109407267320,75245991430,136813226280,180739338660,194803170120,304643876020
533934098100,61653169440,82676025600,34753547460,116242209100,152539098850,154346710740,48661830000,269828760480,64684184400,152424653820,119236220100,139965540000,265460607360,203382432500,180004489150,108204223200,84820622880,142247209560,403229848240,81749762320,188785721740,208722360560,31243291300,108177758000,75902386970,138516616760,186639204510,198133138840,308473779900
562321871540,53353140000,83486706240,35504629320,118627966230,157225370980,159074625300,50075340300,266525505280,66906436960,155645071560,118838475000,141216075000,267701832000,209640353500,182918309100,108718432000,85904277760,143448433050,417687970770,82181729360,189588277130,210463527280,30519126000,108968837640,76594263350,140723281700,191593920000,200726672170,318756239230
551343787280,53314380000,83084715840,33717170940,117612750430,152237972930,156431589730,48870380700,264637930880,64458120320,154313796510,118431028800,139682400000,266733401600,204891695800,183353207600,109453016000,84703637410,142247209560,413694014270,81938747900,188291841500,209076035050,30205472000,108063385040,75308082900,138865037540,191553190000,203160110850,307974227220
554393255130,53382210000,85764651840,34444963440,120404593880,158316952440,158040393990,49194792900,267186156320,65878485200,154935058200,118925784900,141286860000,279959393920,210118900400,183005288800,110582438900,89142928140,143727787350,416729421210,82492205670,189341337010,214408358130,30551675000,108616187680,75973348650,139136031480,196522250000,204921152000,319297421300
